,Report_No,Reported_Date,IBRS,Race,Sex,Age
0,KC19019972,03/19/2019,,W,F,41.0
1,KC19020439,03/20/2019,,W,M,31.0
2,KC19021179,03/23/2019,,W,M,41.0
3,KC19021555,03/25/2019,35A,B,M,31.0
4,KC19021815,03/26/2019,23C,,,
5,KC19021991,03/26/2019,290,B,M,61.0
6,KC19022086,03/26/2019,200,,,
7,KC19022130,03/27/2019,23C,,,
8,KC19022210,03/27/2019,270,,,
9,KC19039501,05/28/2019,13B,B,F,54.0
10,KC19022442,03/28/2019,,B,F,28.0
11,KC19022464,03/28/2019,,W,M,32.0
12,KC19022560,03/28/2019,,B,F,43.0
13,KC19022670,03/29/2019,13B,B,M,29.0
14,KC19022754,03/29/2019,13B,W,F,30.0
15,KC19022808,03/29/2019,,B,M,28.0
16,KC19022923,03/29/2019,09A,B,M,23.0
17,KC19023239,03/31/2019,,B,M,35.0
18,KC19049483,07/03/2019,,W,F,33.0
19,KC19023320,03/31/2019,11B,B,M,
20,KC19023378,04/01/2019,13A,B,F,19.0
21,KC19023395,04/01/2019,,W,M,40.0
22,KC19023520,04/01/2019,90Z,B,M,
23,KC19023608,04/01/2019,35A,B,M,32.0
24,KC19054939,07/22/2019,23H,W,M,51.0
25,KC19023809,04/02/2019,,W,M,42.0
26,KC19023960,04/02/2019,36B,B,F,
27,KC19023975,04/02/2019,120,,M,58.0
28,KC19024065,04/03/2019,250,,,
29,KC19024183,04/03/2019,,W,F,23.0
30,KC19024264,04/03/2019,,B,M,
31,KC19024305,04/04/2019,220,,,
32,KC19024309,04/04/2019,,B,M,38.0
33,KC19024382,04/04/2019,290,,,
34,KC19024725,04/05/2019,,B,M,37.0
35,KC19024959,04/06/2019,23H,W,M,70.0
36,KC19024972,04/06/2019,240,W,F,65.0
37,KC19025082,04/06/2019,240,,F,30.0
38,KC19025133,04/07/2019,,W,F,22.0
39,KC19025283,04/07/2019,11A,W,F,53.0
40,KC19025383,04/08/2019,13A,B,F,29.0
41,KC19025571,04/08/2019,,B,M,27.0
42,KC19025732,04/09/2019,,B,M,33.0
43,KC19025775,04/09/2019,220,B,M,18.0
44,KC19025852,04/09/2019,90J,W,F,27.0
45,KC19025898,04/09/2019,11B,W,F,35.0
46,KC19026030,04/10/2019,,W,M,32.0
47,KC19026110,04/10/2019,290,,,
48,KC19026168,04/10/2019,23F,W,M,
49,KC19026283,04/10/2019,,W,M,24.0
50,KC19026342,04/11/2019,23C,,,
51,KC19026397,04/11/2019,,W,F,22.0
52,KC19026504,04/11/2019,23C,B,M,
53,KC19026539,04/12/2019,240,U,F,49.0
54,KC19026614,04/12/2019,13B,W,M,30.0
55,KC19026660,04/12/2019,,B,F,26.0
56,KC19026834,04/13/2019,13A,B,M,31.0
57,KC19026918,04/13/2019,13B,W,F,39.0
58,KC19027021,04/13/2019,23C,,,
59,KC19027245,04/15/2019,11A,B,F,21.0
60,KC19027259,04/15/2019,90D,,,
61,KC19027496,04/15/2019,,B,M,26.0
62,KC19027656,04/16/2019,,B,M,40.0
63,KC19027682,04/16/2019,,B,F,64.0
64,KC19027754,04/16/2019,23D,B,F,41.0
65,KC19027838,04/16/2019,,W,M,31.0
66,KC19027946,04/17/2019,290,W,M,69.0
67,KC19028165,04/17/2019,13B,W,F,20.0
68,KC19028287,04/18/2019,90J,,,
69,KC19043816,06/12/2019,220,W,M,95.0
70,KC19028347,04/18/2019,13B,B,M,
71,KC19028399,04/18/2019,40A,,,
72,KC19028432,04/18/2019,,B,M,34.0
73,KC19028579,04/19/2019,240,,,
74,KC19028610,04/19/2019,13A,W,M,
75,KC19028858,04/20/2019,,W,M,32.0
76,KC19028981,04/20/2019,90D,B,F,41.0
77,KC19050740,07/07/2019,,B,M,31.0
78,KC19029148,04/21/2019,13B,B,M,30.0
79,KC19029183,04/21/2019,,B,M,30.0
80,KC19029225,04/22/2019,13B,W,F,51.0
81,KC19029389,04/22/2019,,W,M,48.0
82,KC19029591,04/23/2019,,W,M,19.0
83,KC19029614,04/23/2019,,W,M,42.0
84,KC19029720,04/23/2019,13B,W,F,
85,KC19029768,04/23/2019,,B,M,38.0
86,KC19029975,04/24/2019,120,B,M,64.0
87,KC19030088,04/24/2019,13B,W,F,28.0
88,KC19030132,04/25/2019,,W,M,20.0
89,KC19030142,04/25/2019,,B,F,24.0
90,KC19030189,04/25/2019,,W,M,52.0
91,KC19030207,04/25/2019,13A,B,M,50.0
92,KC19030489,04/26/2019,11D,W,M,
93,KC19030670,04/26/2019,,B,M,46.0
94,KC19030793,04/27/2019,270,U,F,25.0
95,KC19030830,04/27/2019,270,,,
96,KC19030926,04/28/2019,240,B,M,29.0
97,KC19031016,04/28/2019,240,B,F,26.0
98,KC19031052,04/28/2019,,W,M,46.0
99,KC19031105,04/29/2019,23F,B,M,49.0
100,KC19031147,04/29/2019,240,B,F,33.0
101,KC19031359,04/30/2019,120,B,M,26.0
102,KC19031387,04/30/2019,13B,B,M,31.0
103,KC19031781,05/01/2019,23C,W,F,
104,KC19032104,05/02/2019,90Z,W,M,55.0
105,KC19032295,05/03/2019,,W,M,64.0
106,KC19032415,05/03/2019,11D,B,M,
107,KC19032430,05/03/2019,,W,M,38.0
108,KC19032504,05/03/2019,290,,,
109,KC19032729,05/04/2019,90D,W,M,24.0
110,KC19032855,05/05/2019,,W,F,26.0
111,KC19032932,05/05/2019,09A,W,M,30.0
112,KC19033032,05/06/2019,13A,W,F,26.0
113,KC19033117,05/06/2019,,B,M,22.0
114,KC19033170,05/06/2019,,,M,53.0
115,KC19033340,05/07/2019,,U,M,32.0
116,KC19058363,08/04/2019,13B,W,F,29.0
117,KC19033465,05/07/2019,90J,,,
118,KC19033657,05/08/2019,13A,B,M,26.0
119,KC19033724,05/08/2019,,B,M,35.0
120,KC19033928,05/08/2019,,W,F,27.0
121,KC19034118,05/09/2019,,W,M,
122,KC19034225,05/09/2019,120,W,M,
123,KC19034251,05/09/2019,,W,M,
124,KC19034322,05/10/2019,,B,M,53.0
125,KC19034518,05/10/2019,,B,M,30.0
126,KC19034652,05/11/2019,13B,B,F,68.0
127,KC19034741,05/11/2019,90D,B,F,61.0
128,KC19034951,05/12/2019,,W,M,54.0
129,KC19035014,05/13/2019,,,M,50.0
130,KC19035300,05/13/2019,90D,W,F,47.0
131,KC19035349,05/14/2019,120,B,M,26.0
132,KC19035512,05/14/2019,23H,B,M,35.0
133,KC19035583,05/14/2019,23H,B,F,
134,KC19035798,05/15/2019,,W,M,
135,KC19035956,05/16/2019,13B,W,M,25.0
136,KC19036004,05/16/2019,,W,M,34.0
137,KC19036100,05/16/2019,23H,,,
138,KC19036246,05/17/2019,,B,M,36.0
139,KC19036398,05/17/2019,240,,M,30.0
140,KC19036530,05/17/2019,120,,,
141,KC19036743,05/18/2019,11A,B,M,
142,KC19036878,05/19/2019,,W,M,41.0
143,KC19036939,05/19/2019,13A,B,F,
144,KC19037093,05/20/2019,,B,M,42.0
145,KC19037132,05/20/2019,290,B,M,
146,KC19037223,05/20/2019,,W,M,53.0
147,KC19037256,05/20/2019,23C,,,
148,KC19037319,05/20/2019,240,W,M,24.0
149,KC19037450,05/21/2019,23C,,,
150,KC19037487,05/21/2019,240,W,M,33.0
151,KC19037620,05/21/2019,,W,F,42.0
152,KC19037796,05/22/2019,13A,W,M,33.0
153,KC19037949,05/22/2019,,B,M,45.0
154,KC19037995,05/23/2019,23C,W,F,29.0
155,KC19067767,09/06/2019,90Z,B,M,44.0
156,KC19038359,05/24/2019,13A,B,M,
157,KC19038381,05/24/2019,,W,M,34.0
158,KC19038510,05/24/2019,,W,M,35.0
159,KC19038719,05/25/2019,290,B,F,24.0
160,KC19038801,05/26/2019,240,,,
161,KC19039081,05/27/2019,90J,W,M,72.0
162,KC19039115,05/27/2019,290,B,F,27.0
163,KC19039221,05/27/2019,,W,M,34.0
164,KC19039328,05/28/2019,26E,,,
165,KC19039397,05/28/2019,,B,M,28.0
166,KC19039465,05/28/2019,90J,,,
167,KC19039510,05/28/2019,,B,F,19.0
168,KC19039547,05/29/2019,,W,F,19.0
169,KC19039699,05/29/2019,240,,,
170,KC19040049,05/30/2019,,W,M,21.0
171,KC19040179,05/31/2019,,W,M,60.0
172,KC19040287,05/31/2019,,W,M,21.0
173,KC19040399,05/31/2019,,W,F,56.0
174,KC19040525,06/01/2019,23F,,,
175,KC19040552,06/01/2019,,W,F,31.0
176,KC19040585,06/01/2019,,W,M,23.0
177,KC19040619,06/01/2019,120,B,M,
178,KC19040640,06/01/2019,120,W,F,57.0
179,KC19040691,06/02/2019,120,B,M,
180,KC19040818,06/02/2019,13A,W,F,
181,KC19040937,06/03/2019,23C,,,
182,KC19041004,06/03/2019,,W,M,18.0
183,KC19041098,06/03/2019,13B,W,F,45.0
184,KC19041250,06/04/2019,,B,M,27.0
185,KC19041502,06/04/2019,,W,F,47.0
186,KC19041548,06/04/2019,13A,B,M,34.0
187,KC19041714,06/05/2019,13A,B,M,33.0
188,KC19041756,06/05/2019,,W,M,56.0
189,KC19041793,06/05/2019,250,,,
190,KC19041876,06/05/2019,,,F,41.0
191,KC19041968,06/06/2019,,B,M,32.0
192,KC19042191,06/06/2019,,,,
193,KC19042219,06/06/2019,23C,,,
194,KC19042267,06/03/2019,13C,B,M,24.0
195,KC19042286,06/07/2019,220,,,
196,KC19042503,06/07/2019,,B,M,20.0
197,KC19042914,06/09/2019,,W,M,52.0
198,KC19042964,06/09/2019,,B,M,
199,KC19043036,06/10/2019,90J,,,
200,KC19043229,06/10/2019,,W,F,20.0
201,KC19043244,06/10/2019,90Z,B,M,31.0
202,KC19043271,06/10/2019,26F,W,F,34.0
203,KC19043335,06/11/2019,90Z,W,M,28.0
204,KC19043528,06/11/2019,13B,B,F,95.0
205,KC19043606,06/11/2019,,B,F,37.0
206,KC19043742,06/12/2019,,W,M,54.0
