,Report_No,Reported_Date,Race,Sex,Age
0,KC20000075,1/1/2020,W,F,22.0
1,KC20000125,1/1/2020,B,M,18.0
2,KC20000158,1/1/2020,B,M,
3,KC20000242,1/1/2020,B,M,
4,KC20000268,1/2/2020,W,F,67.0
5,KC20000405,1/2/2020,B,M,26.0
6,KC20000430,1/2/2020,B,F,21.0
7,KC20000603,1/3/2020,,,
8,KC20000635,1/3/2020,,,
9,KC20000728,1/3/2020,W,M,40.0
10,KC20000940,1/4/2020,,M,30.0
11,KC20000990,1/4/2020,,F,
12,KC20001092,1/5/2020,W,M,18.0
13,KC20001107,1/5/2020,W,M,56.0
14,KC20001512,1/7/2020,,M,
15,KC20001618,1/7/2020,,,
16,KC20001658,1/7/2020,B,F,31.0
17,KC20001796,1/8/2020,W,F,36.0
18,KC20002016,1/8/2020,W,M,40.0
19,KC20002248,1/9/2020,B,F,18.0
20,KC20002292,1/9/2020,B,M,20.0
21,KC20002382,1/10/2020,,,
22,KC20002625,1/11/2020,B,U,
23,KC20002799,1/12/2020,,,
24,KC20002912,1/12/2020,B,M,28.0
25,KC20002925,1/12/2020,B,M,32.0
26,KC20002981,1/13/2020,W,M,63.0
27,KC20003069,1/13/2020,B,M,63.0
28,KC20003430,1/14/2020,B,M,
29,KC20003494,1/14/2020,W,M,
30,KC20003565,1/15/2020,W,M,
31,KC20003688,1/15/2020,W,F,28.0
32,KC20004253,1/17/2020,W,F,28.0
33,KC20004408,1/18/2020,,,
34,KC20004445,1/18/2020,,,
35,KC20004632,1/19/2020,W,F,19.0
36,KC20004934,1/20/2020,W,F,64.0
37,KC20005034,1/21/2020,W,M,67.0
38,KC20005216,1/21/2020,W,M,32.0
39,KC20005241,1/22/2020,B,M,
40,KC20005257,1/21/2020,B,M,62.0
41,KC20005532,1/23/2020,B,F,24.0
42,KC20005622,1/23/2020,W,M,38.0
43,KC20005712,1/23/2020,B,M,19.0
44,KC20005764,1/23/2020,W,M,26.0
45,KC20005882,1/24/2020,W,F,
46,KC20005961,1/24/2020,B,M,66.0
47,KC20005990,1/24/2020,,,
48,KC20006022,1/24/2020,W,M,
49,KC20006268,1/26/2020,,,
50,KC20006331,1/26/2020,B,M,40.0
51,KC20006382,1/26/2020,B,F,30.0
52,KC20006450,1/26/2020,W,M,
53,KC20006708,1/28/2020,B,M,20.0
54,KC20006852,1/28/2020,B,M,22.0
55,KC20007348,1/29/2020,B,M,40.0
56,KC20007388,1/30/2020,W,M,67.0
57,KC20007456,1/30/2020,U,M,40.0
58,KC20007610,1/30/2020,W,M,43.0
59,KC20007650,1/31/2020,B,F,30.0
60,KC20007898,1/31/2020,W,M,
61,KC20008125,2/1/2020,B,M,28.0
62,KC20008271,2/2/2020,,,
63,KC20008475,2/3/2020,B,F,76.0
64,KC20008684,2/3/2020,B,M,24.0
65,KC20008733,2/4/2020,B,M,30.0
66,KC20008867,2/4/2020,,,
67,KC20008898,2/4/2020,B,F,
68,KC20009078,2/5/2020,,,
69,KC20009112,2/5/2020,B,M,31.0
70,KC20009230,2/5/2020,,,
71,KC20009259,2/5/2020,B,M,
72,KC20009303,2/5/2020,,,
73,KC20009319,2/6/2020,,,
74,KC20009434,2/6/2020,W,M,
75,KC20009500,2/6/2020,W,F,26.0
76,KC20009607,2/7/2020,B,F,37.0
77,KC20009813,2/7/2020,W,M,32.0
78,KC20009855,2/7/2020,B,M,
79,KC20010014,2/8/2020,B,M,
80,KC20010084,2/8/2020,B,M,41.0
81,KC20010112,2/8/2020,B,F,43.0
82,KC20010217,2/9/2020,W,M,35.0
83,KC20010579,2/10/2020,,,
84,KC20010779,2/11/2020,,,
85,KC20011305,2/13/2020,B,M,
86,KC20011450,2/14/2020,W,F,26.0
87,KC20011618,2/15/2020,W,M,24.0
88,KC20011702,2/15/2020,W,M,30.0
89,KC20011983,2/16/2020,B,M,20.0
90,KC20012036,2/17/2020,W,F,18.0
91,KC20012120,2/17/2020,W,F,39.0
92,KC20012134,2/17/2020,,,
93,KC20012375,2/18/2020,,,
94,KC20012429,2/18/2020,,,
95,KC20012506,2/18/2020,W,M,34.0
96,KC20012823,2/20/2020,B,M,28.0
97,KC20013150,2/21/2020,B,M,46.0
98,KC20013178,2/18/2020,B,F,24.0
99,KC20013250,2/21/2020,B,M,47.0
100,KC20013271,2/21/2020,,,
101,KC20013291,2/21/2020,B,F,45.0
102,KC20013343,2/21/2020,W,M,62.0
103,KC20013379,2/21/2020,B,F,50.0
104,KC20013567,2/22/2020,W,F,48.0
105,KC20013911,2/24/2020,B,F,26.0
106,KC20014233,2/25/2020,B,M,19.0
107,KC20014722,2/27/2020,W,M,36.0
108,KC20014781,2/27/2020,,,
109,KC20014838,2/27/2020,B,F,20.0
110,KC20014861,2/27/2020,B,F,
111,KC20014898,2/27/2020,W,F,56.0
112,KC20015046,2/28/2020,B,M,26.0
113,KC20015095,2/28/2020,W,M,23.0
114,KC20015360,2/29/2020,W,F,71.0
115,KC20015403,2/29/2020,W,M,21.0
116,KC20015441,2/29/2020,,M,28.0
117,KC20015499,3/1/2020,B,M,34.0
118,KC20015541,3/1/2020,B,M,47.0
119,KC20015668,3/1/2020,W,F,53.0
120,KC20015852,3/2/2020,U,M,41.0
121,KC20015914,3/2/2020,B,M,
122,KC20015959,3/2/2020,B,M,31.0
123,KC20016302,3/4/2020,B,F,33.0
124,KC20016420,3/4/2020,B,M,
125,KC20016479,3/4/2020,B,F,27.0
126,KC20016589,3/5/2020,W,M,43.0
127,KC20016846,3/5/2020,B,F,23.0
128,KC20016888,3/6/2020,B,M,
129,KC20016948,3/6/2020,W,F,21.0
130,KC20017088,3/6/2020,,,
131,KC20017150,3/7/2020,W,M,29.0
132,KC20017418,3/8/2020,B,M,43.0
133,KC20017439,3/8/2020,,,
134,KC20017468,3/8/2020,B,M,45.0
135,KC20017490,3/8/2020,B,F,
136,KC20017547,3/8/2020,B,F,23.0
137,KC20017736,3/9/2020,B,M,
138,KC20018576,3/12/2020,B,M,82.0
139,KC20018697,3/13/2020,,,
140,KC20018972,3/14/2020,W,M,
141,KC20019175,3/15/2020,B,M,44.0
142,KC20019415,3/16/2020,W,M,81.0
143,KC20019616,3/17/2020,B,M,21.0
144,KC20019761,3/17/2020,B,M,22.0
145,KC20020437,3/20/2020,W,F,29.0
146,KC20020501,3/20/2020,U,M,
147,KC20020516,3/21/2020,B,M,21.0
148,KC20020613,3/21/2020,,,
149,KC20020648,3/21/2020,W,F,35.0
150,KC20020689,3/22/2020,W,M,34.0
151,KC20020703,3/22/2020,B,M,27.0
152,KC20020752,3/22/2020,B,M,
153,KC20020772,3/22/2020,B,M,35.0
154,KC20020785,3/22/2020,B,M,25.0
155,KC20020856,3/23/2020,W,M,37.0
156,KC20020938,3/23/2020,B,F,29.0
157,KC20021025,3/23/2020,B,M,25.0
158,KC20021073,3/24/2020,,,
159,KC20021209,3/24/2020,W,M,44.0
160,KC20021337,3/25/2020,W,M,
161,KC20021702,3/27/2020,U,U,
162,KC20021980,3/28/2020,W,F,52.0
163,KC20022008,3/28/2020,B,M,32.0
164,KC20022056,3/29/2020,B,M,
165,KC20022123,3/29/2020,U,F,
166,KC20022134,3/29/2020,B,M,24.0
167,KC20022209,3/30/2020,W,M,
168,KC20022235,3/30/2020,W,M,36.0
169,KC20022460,3/31/2020,W,M,52.0
170,KC20022680,4/1/2020,,,
171,KC20022790,4/1/2020,W,M,25.0
172,KC20022825,4/2/2020,B,F,41.0
173,KC20023108,4/3/2020,W,M,40.0
174,KC20023202,4/4/2020,B,M,26.0
175,KC20023581,4/6/2020,,,
176,KC20023988,4/8/2020,W,M,22.0
177,KC20024116,4/8/2020,W,M,24.0
178,KC20024139,4/8/2020,W,F,
179,KC20024186,4/9/2020,B,M,
180,KC20024234,4/9/2020,B,M,41.0
181,KC20024526,4/10/2020,W,M,62.0
182,KC20024709,4/11/2020,,,
183,KC20024732,4/11/2020,B,M,
184,KC20024782,4/12/2020,,,
185,KC20024795,4/12/2020,B,M,29.0
186,KC20025169,3/5/2020,W,F,20.0
187,KC20025264,4/14/2020,B,M,42.0
188,KC20025545,4/16/2020,B,M,30.0
189,KC20025809,4/17/2020,B,M,
190,KC20026072,4/19/2020,B,F,35.0
191,KC20026128,4/19/2020,W,M,50.0
192,KC20026144,4/19/2020,B,M,
193,KC20026192,4/20/2020,,,
194,KC20026218,4/20/2020,,,
195,KC20026305,4/20/2020,W,M,
196,KC20026357,4/20/2020,,,
197,KC20026785,4/22/2020,,,
198,KC20026937,4/23/2020,,,
199,KC20027173,4/24/2020,B,M,38.0
200,KC20027381,4/25/2020,,,
201,KC20027481,4/26/2020,B,M,
202,KC20027555,4/26/2020,W,F,45.0
203,KC20027778,4/27/2020,B,M,33.0
204,KC20027792,4/27/2020,W,M,22.0
205,KC20028289,4/29/2020,B,F,51.0
206,KC20028307,4/29/2020,W,F,22.0
207,KC20028607,5/1/2020,,,
208,KC20028666,5/1/2020,B,M,
209,KC20028773,5/2/2020,B,F,32.0
210,KC20028821,5/2/2020,,,
211,KC20028938,5/2/2020,B,M,41.0
212,KC20028968,5/3/2020,W,M,
213,KC20028979,5/3/2020,W,M,
214,KC20029002,5/3/2020,B,M,56.0
215,KC20029029,5/3/2020,B,F,33.0
216,KC20029483,5/5/2020,U,M,55.0
217,KC20029511,5/5/2020,B,M,22.0
